source;translation;type;module;status;customer
"First click - data2";"Pirmais klikšķis - data 2";S;;T;N
"Last click - time";"Pirmais klikšķis - laiks";S;;T;N
"Last click - referer";"Pirmais klikšķis - referālis";S;;T;N
"Last click - IP";"Pēdējais klikšķis - IP";S;;T;N
"Last click - data1";"Pēdējais klikšķis - data 1";S;;T;N
"Last click - data2";"Pēdējais klikšķis - data 2";S;;T;N
"Transaction data1";"Transakcijas dati1";S;;T;N
"Transaction data2";"Transakcijas dati2";S;;T;N
"Transaction data3";"Transakcijas dati3";S;;T;N
"Transaction data4";"Transakcijas dati4";S;;T;N
"Transaction data5";"Transakcijas dati5";S;;T;N
"Note to merchant";"Ziņa tirgotājam (merchant)";S;;T;N
"Original currency";"Orģinālā valūta";S;;T;N
"Banner does not exist";"Baneris neeksistē";S;merchant;T;N
"Server error: Unknown type given for BannerForm._save()";"Servera kļūda: Nezināms tips piešķirts BannerForm._save()";S;merchant;T;N
"Banner was saved";"Baneris saglabāts";S;merchant;T;N
"Imps";"Apmeklējumi";S;merchant;T;Y
"Clicks";"Klikšķi";B;;T;Y
"CTR";"CTR ";S;;T;N
"Order";"Pasūtījums";B;merchant;T;Y
"Campaign does not exist";"Kampaņa neeksistē";S;merchant;T;N
"Campaign capping saved";"Kampaņas ierobežojumi saglabāti";S;merchant;T;N
"Number of transactions in 'Active until' campaign validity has to be set";"Kampaņas derīgumam nepieciešams iestatīt 'Aktīvs līdz' transakciju";S;merchant;T;N
"There are missing From and To dates for 'Active in date range' campaign validity";"Trūkst datu Formas un No / Līdz laukiem par 'Aktīvs dotajā laika periodā' kampaņā";S;merchant;T;N
"Commission successfully computed";"Komisijas sekmīgi samaksātas";S;merchant;T;N
"User is not valid!";"Lietotājs nav derīgs!!";S;merchant;T;N
"Campaign is not valid!";"Kampaņa nav derīga!";S;merchant;T;N
"Transaction type is not valid or doesn't exist in this campaign!";"Transakcijas tips nav derīgs vai arī šajā kampaņā neeksistē!!";S;merchant;T;N
"Cannot recognize commission group for this user in campaign!";"Nav iespējams noteikt komisiju grupu šim kampaņas lietotājam!";S;merchant;T;N
"Error getting commission settings!";"Kļūda komisiju uzstādījumos!";S;merchant;T;N
"You cannot deactivate default campaign";"Jūs nevarat deaktivizēt noklusējuma kampaņu";S;merchant;T;N
"You cannot delete default campaign";"Jūs nevarat dzēst noklusējuma kampaņu";S;merchant;T;N
"Default";"Noklusējuma";B;;T;Y
"per sale / lead";"par pārdošanu / piesaisti";B;;T;Y
"CampaignsImportExportDescription";"Kampaņu Importa Eksporta Apraksts";B;merchant;T;Y
"loadCommissionGroups: campaignId is empty";"loadCommissionGroups: campaignId ir tukšs";S;merchant;T;N
"Campaign ID cannot be empty!";"Kampaņas ID nevar palikt tukšs!";S;merchant;T;N
"CommissionTypeId (Id) cannot be empty!";"CommissionTypeId (Id) nevar palikt neaizpildīts!";S;merchant;T;N
"CommissionGroupId cannot be empty!";"CommissionGroupId nevar palikt neaizpildīts!";S;merchant;T;N
"Commission type does not exist";"Komisiju tips neeksistē";S;merchant;T;N
"Commissions saved successfully";"Komisijas veiksmīgi saglabātas";S;merchant;T;N
"Field 'type' does not exist";"Lauks 'tips' neeksistē";S;merchant;T;N
"Failed to change status";"Neizdevās nomainīt statusu";S;merchant;T;N
"Status successfully changed";"Statuss veiksmīgi nomainīts";S;merchant;T;N
"Affiliate screen";"Partneru ekrāns";S;merchant;T;N
"Affiliate panel menu saved";"Partneru paneļa izvēlne saglabāta";S;merchant;T;N
"Error changing default theme";"Kļūda nomainot noklusējuma tēmu";S;merchant;T;N
"Default theme changed";"Noklusējuma tēma izmainīta";S;merchant;T;N
"Program name and logo saved";"Programmas vārds un logotips saglabāts";S;merchant;T;N
"Affiliate signup settings saved";"Partneru reģistrācijas iestatījumi saglabāti";S;merchant;T;N
"Banner format successfully saved";"Banera formāts";S;merchant;T;N
"Cookies settings saved";"Sīkdatnes iestatījumi saglabāti";S;merchant;T;N
"Symbol";"Simbols";B;;T;Y
"Precision";"Precizitāte";B;;T;Y
"Where to display";"Kur atainot";B;;T;Y
"Exchange rate";"Maiņas kurss";S;;T;N
"NEW";"Jauns";B;;T;Y
"Currency";"Valūta";B;;T;Y
"Fraud protections saved";"Aizsardzība pret krāpšanu saglabāta";S;merchant;T;N
"Logging saved";"Ielogošanās saglabāta";S;merchant;T;N
"Parameter names saved";"Parametru nosaukumi saglabāti";S;merchant;T;N
"Tracking saved";"Izsekošana (tracking) saglabāta";S;merchant;T;N
"URLs & Directories saved";"URLi & direktorijas saglabātas";S;merchant;T;N
"Affiliates successfully paid";"Maksājums partneriem paveikts sekmīgi";S;merchant;T;N
"Email";"e-pasts";B;;T;Y
"VAT";"PVN";S;merchant;T;N
"To pay";"Izmaksāt";S;merchant;T;Y
"Declined";"Atteikts";B;;T;N
"Minimum payout";"Minimālā izmaksa";S;merchant;T;Y
"Payout data";"Izmaksu datums";B;merchant;T;N
"N/A";"N/P";S;merchant;T;N
"New payout option";"Jauns izmaksu veids";S;merchant;T;N
"New payout option %s";"Jauns izmaksu veids %s";S;merchant;T;N
"Payout option";"Izmaksu veids";S;merchant;T;N
"Payout history";"Izmaksu vēsture";S;merchant;T;Y
"Date paid";"Izmaksas datums";S;merchant;T;N
"Payees";"Maksājumu saņēmēji";S;merchant;T;N
