source;translation;type;module;status;customer
"Status successfully changed for %s user(s)";"Stato cambiato correttamente per utenti %s ";S;;T;N
"Password";"Password";B;;N;N
"Title must be unique";"Titolo deve essere unico";S;affiliate;T;N
"Selected parent affiliate does not exist";"Lo sponsor selezionato non esiste";S;;T;N
"Failed loading file %s with error: %s";"Caricamento file %s fallito con errore: %s";S;;T;N
"Merchant - New User Signup";"Mercante - Notifica email - nuovo utente iscritto";B;merchant;T;N
"New user signed up";"Nuovo utente iscritto";B;merchant;T;N
"Email subject";"Oggetto email";S;merchant;T;N
"Email text";"Testo Email";S;merchant;T;N
"Merchant - Affiliate filled Contact us form";"Merchant - Modulo di contatto affiliati";B;merchant;T;N
"Affiliate filled Contact us form";"Modulo di contatatto Affiliato";B;merchant;T;N
"Merchant - New Sale / Lead";"Mercante - Notifica email - Nuova vendita / Iscrizione";B;merchant;T;N
"New sale / lead";"Nuova vendita / Iscrizione (sale / lead)";B;;T;N
"Affiliate - New User Signup Approved";"Affiliato - Iscrizione nuovo utente approvato";B;;T;N
", welcome to our affiliate program";", Benvenuto nel nostro programma di affiliatione";B;;T;N
"Affiliate - New User Signup Before Approval";"Affiliato - Iscrizione nuovo utente da approvare";B;;T;N
"Paid amount";"Importo pagato";S;;T;N
"Paid currency";"Valuta pagata";S;;T;N
"Payout method";"modalità di pagamento";B;;T;N
"Affiliate - On payout";"Affiliato - Pagamento";B;;T;N
"Your commissions";"Le tue commissioni";B;;T;N
"Affiliate - New Subaffiliate Sale / Lead";"Affiliato - Nuovo Vendita / Iscrizione da Sotto-affiliato ";B;affiliate;T;N
"New subaffiliate sale / lead";"Nuova vendita / iscrizione sotto-affiliato";B;affiliate;T;N
"Affiliate - New Subaffiliate signup";"Affiliato - Nuovo Sotto-affiliato iscritto";B;affiliate;T;N
"New subaffiliate signed up";"Nuova iscrizione sotto-affiliato";B;affiliate;T;N
"VAT percentage";"percentuale IVA";B;;T;N
"VAT number";"IVA Numero";B;;T;N
"Registration number";"Numero registrazione";B;;T;N
"VAT part";"IVA part";B;;T;N
"Payment incl. VAT";"Pagamento incl. VAT";B;;T;N
"Payment excl. VAT";"Pagamento excl. VAT";B;;T;N
"Affiliate - On VAT payout";"Affiliato - Pagamento IVA";B;;T;N
"Transaction ID";"Transazione ID";B;;T;N
"TotalCost";"CostoTotale";S;;T;N
"Tier";"Livello";B;;T;N
"Campaign ID";"Campagna ID";S;;T;N
"Referer URL";"Referer url";S;;T;N
"First click - time";"Primo click - ora";S;;T;N
"First click - referer";"Primo click - referer";S;;T;N
"First click - IP";"Primo click - IP";S;;T;N
"First click - data1";"Primo click - data1";S;;T;N
"First click - data2";"Primo click - data2";S;;T;N
"Last click - time";"Ultimo click - ora";S;;T;N
"Last click - referer";"Ultimo click - referer";S;;T;N
"Last click - IP";"Ultimo click - IP";S;;T;N
"Last click - data1";"Ultimo click - data1";S;;T;N
"Last click - data2";"Ultimo click - data2";S;;T;N
"Transaction data1";"Transazione data1";S;;T;N
"Transaction data2";"Transazione data2";S;;T;N
"Transaction data3";"Transazione data3";S;;T;N
"Transaction data4";"Transazione data4";S;;T;N
"Transaction data5";"Transazione data5";S;;T;N
"Note to merchant";"Nota per merchante";S;;T;N
"Original currency";"valuta originale";S;;T;N
"Banner does not exist";"Il Banner non esiste";S;merchant;T;N
"Server error: Unknown type given for BannerForm._save()";"errore server: tipo sconosciuto per BannerForm._save()";S;merchant;T;N
"Banner was saved";"Il banner è stato salvato";S;merchant;T;N
"Imps";"Imps";S;merchant;N;N
"Clicks";"clicks";B;;T;N
"CTR";"CTR";S;;N;N
"Order";"Ordine";B;merchant;T;N
"BannersImportExportDescription";"Definizione Banners – Nota che questo importa/esporta solo le difinizioni, non le immagini fisiche o i files";B;merchant;T;N
"Campaign does not exist";"La campagna non esiste";S;merchant;T;N
"Campaign capping saved";"Campagna capping salvata";S;merchant;T;N
"Number of transactions in 'Active until' campaign validity has to be set";"Numero di transazoini in 'Attivo fino' validità campagna impostata";S;merchant;T;N
"There are missing From and To dates for 'Active in date range' campaign validity";"Mancano le data DA e A per 'Active in date range' validità campagna";S;merchant;T;N
"Commission successfully computed";"Commissioni calcolata correttamente";S;merchant;T;N
"User is not valid!";"Utente non è valido!";S;merchant;T;N
"Campaign is not valid!";"Campagna non è valido!";S;merchant;T;N
"Transaction type is not valid or doesn't exist in this campaign!";"Transazione  tipo non è valido o non esiste in questa campagna!";S;merchant;T;N
"Cannot recognize commission group for this user in campaign!";"Impossibile riconoscere il gruppo di commissioni per questo utentei nella campagna pubblicitaria!";S;merchant;T;N
"Error getting commission settings!";"Errore lettura impostazioni commissione!";S;merchant;T;N
"Error, for percentage commissions you have to define Total cost!";"Errore, per le commissioni in percentuale devi definire il costo  totale (total cost)!";S;merchant;T;N
"You cannot deactivate default campaign";"Non puoi disattivare la campagna pubblicitaria predefinita";S;merchant;T;N
"You cannot delete default campaign";"Non puoi cancellare la campagna pubblicitaria predefinita";S;merchant;T;N
"Default";"Predefinito";B;;T;N
"per sale / lead";"per sale / lead";B;;N;N
"CampaignsImportExportDescription";"Campagne e loro commissioni importo impostazioni";B;merchant;T;N
"loadCommissionGroups: campaignId is empty";"Caricamento gruppo di commissioni: campagna ID è vuoto";S;merchant;T;N
"Campaign ID cannot be empty!";"Campagna ID non puo essere vuoto!";S;merchant;T;N
"CommissionTypeId (Id) cannot be empty!";"CommissionTypeId (Id) non può essere vuoto!";S;merchant;T;N
"CommissionGroupId cannot be empty!";"CommissionGroupId non puo essere vuoto!";S;merchant;T;N
"Commission type does not exist";"Tipo di commissione non esiste";S;merchant;T;N
"Commissions saved successfully";"Commissioni salvate correttamente";S;merchant;T;N
"Field 'type' does not exist";"Campo 'Tipo' non esiste";S;merchant;T;N
"Failed to change status";"Cambio stato fallito";S;merchant;T;N
"Status successfully changed";"Stato cambiato correttamente";S;merchant;T;N
"CommissionsImportExportDescription";"Commissioni (transazoini, ordini) registrti dal sistema";B;merchant;T;N
"Affiliate screen";"Schermata Affiliato";S;merchant;T;N
"Affiliate panel menu saved";"Menu pannello affiliato salvato";S;merchant;T;N
"Error changing default theme";"Errore cambiamento tema predefinito";S;merchant;T;N
"Default theme changed";"Tema predefinito modificato";S;merchant;T;N
"Program name and logo saved";"Nome del programma e logo salvati";S;merchant;T;N
"Affiliate signup settings saved";"Impostazioni Iscrizione Affiliato salvate";S;merchant;T;N
"Value";"valore";B;;T;N
"Banner format successfully saved";"Formato Banner salvato correttamente";S;merchant;T;N
"Cookies settings saved";"Impostazioni Cookies salvate";S;merchant;T;N
"Symbol";"Simboli";B;;T;N
"Precision";"Precisione";B;;T;N
"Where to display";"Dove mostrarlo";B;;T;N
"Exchange rate";"Tasso di cambio";S;;T;N
"NEW";"Nuovo";B;;T;N
"Currency";"Valuta";B;;T;N
"Fraud protections saved";"Protezione Frode salvata";S;merchant;T;N
"Logging saved";"Logging salvato";S;merchant;T;N
"Parameter names saved";"nomi parametri salvati";S;merchant;T;N
"Tracking saved";"Tracking salvato";S;merchant;T;N
"URLs & Directories saved";"URLs & Cartella salvate";S;merchant;T;N
"Affiliates successfully paid";"Affiliati pagati correttamente";S;merchant;T;N
"Email";"email";B;;T;N
"VAT";"IVA";S;merchant;T;N
"To pay";"Da pagare";S;merchant;T;N
"Declined";"Rifiutato";B;;T;N
"Minimum payout";"Pagamento minimo";S;merchant;T;N
"Payout data";"dati pagamento";B;merchant;T;N
"N/A";"N/A";S;merchant;N;N
"New payout option";"Nuova opzione pagamento";S;merchant;T;N
"New payout option %s";"Nuova opzione pagamento %s";S;merchant;T;N
"Payout option";"opzione pagamento";S;merchant;T;N
"Payout history";"Storico Pagamenti";S;merchant;T;N
"Date paid";"Data pagamento";S;merchant;T;N
"Payees";"beneficiari";S;merchant;T;N
"Total amount";"Importo totale";S;merchant;T;N
"Affiliate note";"Note Affiliato";B;merchant;T;N
"payee";"beneficiario";S;merchant;T;N
"Date";"Data";B;;T;N
"Data 1";"Data 1";B;merchant;N;N
"Data 2";"Data 2";B;merchant;N;N
"Clicks raw";"Click totali";S;;T;N
