source;translation;type;module;status;customer
"Affiliate - New User Signup Approved";"アフィリエイト - 新規ユーザーサインナップが承認されました。";B;;T;N
", welcome to our affiliate program";", アフィリエイトプログラムにようこそ！";B;;T;N
"Affiliate - New User Signup Before Approval";"アフィリエイト - 承認前の新規ユーザーサインアップ";B;;T;N
"Paid amount";"支払済金額";S;;T;N
"Paid currency";"支払通貨";S;;T;N
"Payout method";"ペイアウト方法";B;;T;N
"Affiliate - On payout";"アフィリエイト - 支払中";B;;T;N
"Your commissions";"あなたのコミッション";B;;T;N
"Affiliate - New Subaffiliate Sale / Lead";"アフィリエイト - 新規サブアフィリエイト売上 / リード";B;affiliate;T;N
"New subaffiliate sale / lead";"新規サブアフィリエイト売上 / リード";B;affiliate;T;N
"Affiliate - New Subaffiliate signup";"アフィリエイト - 新規サブアフィリエイトサインアップ";B;affiliate;T;N
"New subaffiliate signed up";"新規サブアフィリエイトサインアップ";B;affiliate;T;N
"VAT percentage";"VAT パーセンテージ";B;;T;N
"VAT number";"VAT ナンバー";B;;T;N
"Registration number";"登録番号";B;;T;N
"VAT part";"VAT パート";B;;T;N
"Payment incl. VAT";"ペイメント支払（含VAT）";B;;T;N
"Payment excl. VAT";"ペイメント（除 VAT）";B;;T;N
"Affiliate - On VAT payout";"アフィリエイト - VAT支払中";B;;T;N
"Transaction ID";"トランザクション ID";B;;T;N
"TotalCost";"トータルコスト";S;;T;N
"Campaign ID";"キャンペーン ID";S;;T;N
"Referer URL";"参照元 url";S;;T;N
"First click - time";"初回クリック - 時間";S;;T;N
"First click - referer";"初回クリック - 紹介者";S;;T;N
"First click - IP";"初回クリック - IP";S;;T;N
"First click - data1";"初回クリック - データ1";S;;T;N
"First click - data2";"初回クリック - データ2";S;;T;N
"Last click - time";"最終クリック - 時間";S;;T;N
"Last click - referer";"最終クリック - 紹介者";S;;T;N
"Last click - IP";"最終クリック - IP";S;;T;N
"Last click - data1";"最終クリック - データ1";S;;T;N
"Last click - data2";"最終クリック - データ2";S;;T;N
"Transaction data1";"トランザクション データ1";S;;T;N
"Transaction data2";"トランザクション データ2";S;;T;N
"Transaction data3";"トランザクション データ3";S;;T;N
"Transaction data4";"トランザクション データ4";S;;T;N
"Transaction data5";"トランザクション データ5";S;;T;N
"Note to merchant";"マーチャントへの連絡事項";S;;T;N
"Original currency";"オリジナル通貨";S;;T;N
"Banner does not exist";"バナーが存在しません。";S;merchant;T;N
"Server error: Unknown type given for BannerForm._save()";"サーバーエラー: バナーフォームへの不明なタイプ。_save()";S;merchant;T;N
"Banner was saved";"バナーは保存されました。";S;merchant;T;N
"Imps";"インプレッション";S;merchant;T;N
"Clicks";"クリック";B;;T;N
"CTR";"CTR";S;;N;N
"Order";"オーダー";B;merchant;T;N
"BannersImportExportDescription";"バナー定義：　この読み込み・書き出しは定義のみで、物理的なイメージやファイルではありません。";B;merchant;T;N
"Campaign does not exist";"キャンペーンが存在しません。";S;merchant;T;N
"Campaign capping saved";"キャンペーンキャッピングが保存されました。";S;merchant;T;N
"Number of transactions in 'Active until' campaign validity has to be set";"「期間限定」キャンペーン検証のトランザクション数をセットする必要があります。";S;merchant;T;N
"There are missing From and To dates for 'Active in date range' campaign validity";"「有効日数範囲」キャンペーン検証の開始と終了の日付がありません。";S;merchant;T;N
"Commission successfully computed";"コミッションはうまく計算されました。";S;merchant;T;N
"User is not valid!";"ユーザーは有効でありません。";S;merchant;T;N
"Campaign is not valid!";"キャンペーンは有効でありません。";S;merchant;T;N
"Transaction type is not valid or doesn't exist in this campaign!";"トランザクションタイプが有効でないか、または本キャンペーンに存在しません。";S;merchant;T;N
"Cannot recognize commission group for this user in campaign!";"このユーザーのコミッショングループがキャンペーンで認識できません。";S;merchant;T;N
"Error getting commission settings!";"エラー：　コミッション設定の取得に失敗しました。";S;merchant;T;N
"Error, for percentage commissions you have to define Total cost!";"エラー：　パーセンテージコミッションは、トータルより低く定義する必要があります。";S;merchant;T;N
"You cannot deactivate default campaign";"デフォルトキャンペーンは無効にできません。";S;merchant;T;N
"You cannot delete default campaign";"デフォルトキャンペーンは削除できません。";S;merchant;T;N
"Default";"デフォルト";B;;T;N
